t_ms,pid,block,condition,yaw_deg,pitch_deg,roll_deg,head_speed_dps,dr_intensity,mode,event,payload
1784827440229,9,A,A3,,,,,1,NBACK1_PILOT,CPT_PANEL_PLACED,dist_m=n/a;tool=block-a-cpt.html;window_stage=done
1784827583920,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=79;kind=nogo;shape=triangle
1784827585726,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=79;outcome=correct_reject;rt_ms=523
1784827585731,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=80;kind=nogo;shape=circle
1784827587533,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=80;outcome=correct_reject;rt_ms=498
1784827587538,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=81;kind=go;shape=circle
1784827589361,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=81;outcome=hit;rt_ms=637
1784827589367,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=82;kind=nogo;shape=triangle
1784827591186,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=82;outcome=correct_reject;rt_ms=503
1784827591193,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=83;kind=nogo;shape=circle
1784827592994,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=83;outcome=correct_reject;rt_ms=502
1784827592999,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=84;kind=go;shape=circle
1784827594800,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=84;outcome=hit;rt_ms=406
1784827594805,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=85;kind=nogo;shape=square
1784827596629,9,A,A3,,,,,1,NBACK1_PILOT,CPT_RESULT,idx=85;outcome=correct_reject;rt_ms=458
1784827596634,9,A,A3,,,,,1,NBACK1_PILOT,CPT_ONSET,idx=86;kind=nogo;shape=diamond
